index,return_code,subdir_count,mapped_count,subdirs,mapped_mlirs,command
35,0,1,1,fused_op_bmm_6e681fd7acb32ed9dd3e3e9fe55620ea35b6a697_128x3x3xfloat64_128x3x2304xfloat64,fused_op_bmm_6e681fd7acb32ed9dd3e3e9fe55620ea35b6a697_128x3x3xfloat64_128x3x2304xfloat64.mlir,"aten::bmm '[[128, 3, 3], [128, 3, 2304]]' '['""'""'float'""'""', '""'""'float'""'""']' '[[9, 3, 1], [6912, 2304, 1]]' '['""'""''""'""', '""'""''""'""']'"
36,0,1,1,fused_op_mm_d7ff0a7e7059ec0cebffd1488a48dd840778c6f2_4112x2048xbfloat16_2048x2048xbfloat16,fused_op_mm_d7ff0a7e7059ec0cebffd1488a48dd840778c6f2_4112x2048xbfloat16_2048x2048xbfloat16.mlir,"aten::mm '[[4112, 2048], [2048, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2048, 1], [1, 2048]]' '['""'""''""'""', '""'""''""'""']'"
37,0,1,1,fused_op_bmm_eefaaab8b81670695e78c37cca7ef68ef964f70b_128x3x3xbfloat16_128x3x1152xbfloat16,fused_op_bmm_eefaaab8b81670695e78c37cca7ef68ef964f70b_128x3x3xbfloat16_128x3x1152xbfloat16.mlir,"aten::bmm '[[128, 3, 3], [128, 3, 1152]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9, 3, 1], [3456, 1152, 1]]' '['""'""''""'""', '""'""''""'""']'"
38,0,1,1,fused_op_mm_95358c015e70714804b90cf14af8f97478ea5eb2_24576x576xbfloat16_24576x576xbfloat16,fused_op_mm_95358c015e70714804b90cf14af8f97478ea5eb2_24576x576xbfloat16_24576x576xbfloat16.mlir,"aten::mm '[[576, 24576], [24576, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 576], [576, 1]]' '['""'""''""'""', '""'""''""'""']'"
39,0,1,1,fused_op_mm_72c64e78427da21ca3ecc5f3006f3455d785214d_24576x512xbfloat16_24576x304xbfloat16,fused_op_mm_72c64e78427da21ca3ecc5f3006f3455d785214d_24576x512xbfloat16_24576x304xbfloat16.mlir,"aten::mm '[[512, 24576], [24576, 304]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 512], [304, 1]]' '['""'""''""'""', '""'""''""'""']'"
40,0,1,1,fused_op_mm_ca2ec2da43ebbe4d9bbd5e61eff7124442eab073_32x576xbfloat16_576x576xbfloat16,fused_op_mm_ca2ec2da43ebbe4d9bbd5e61eff7124442eab073_32x576xbfloat16_576x576xbfloat16.mlir,"aten::mm '[[32, 576], [576, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[576, 1], [576, 1]]' '['""'""''""'""', '""'""''""'""']'"
41,0,1,1,fused_op_mm_ac54384c133573bdff81cc039475d74b1551682c_24576x576xbfloat16_576x2048xbfloat16,fused_op_mm_ac54384c133573bdff81cc039475d74b1551682c_24576x576xbfloat16_576x2048xbfloat16.mlir,"aten::mm '[[24576, 576], [576, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[576, 1], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
42,0,1,1,fused_op_mm_ba478daa0639a7b4715a50ceff8a4c6770caa9f2_24576x576xbfloat16_576x576xbfloat16,fused_op_mm_ba478daa0639a7b4715a50ceff8a4c6770caa9f2_24576x576xbfloat16_576x576xbfloat16.mlir,"aten::mm '[[24576, 576], [576, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[576, 1], [576, 1]]' '['""'""''""'""', '""'""''""'""']'"
43,0,1,1,fused_op_bmm_1a7564bf3b08185140366688ca1b76562becba68_128x3x3xbfloat16_128x3x2304xbfloat16,fused_op_bmm_1a7564bf3b08185140366688ca1b76562becba68_128x3x3xbfloat16_128x3x2304xbfloat16.mlir,"aten::bmm '[[128, 3, 3], [128, 3, 2304]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9, 3, 1], [6912, 2304, 1]]' '['""'""''""'""', '""'""''""'""']'"
44,0,1,1,fused_op_mm_de35605025a8f9c5459445edc75c67bef30aaf3a_528x576xbfloat16_528x576xbfloat16,fused_op_mm_de35605025a8f9c5459445edc75c67bef30aaf3a_528x576xbfloat16_528x576xbfloat16.mlir,"aten::mm '[[576, 528], [528, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 576], [576, 1]]' '['""'""''""'""', '""'""''""'""']'"
