filename,M,N,K,batch,tuning_folder_path,proxy_shapes
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_f2cf8baddfd5b170c47747d720514b56d9c27b7e_3840xbfloat16_256x3840xbfloat16_3840x3840xbfloat16.mlir,256,3840,3840,1,,"aten::addmm '[[3840], [256, 3840], [3840, 3840], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [3840, 1], [1, 3840], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_f62a897d431b42072daeb103b2b16ee04d458655_1134xbfloat16_150000x2048xbfloat16_1134x2048xbfloat16.mlir,150000,1134,2048,1,,"aten::addmm '[[1134], [150000, 2048], [2048, 1134], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [2048, 1], [1, 2048], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_mm_012c28e6a82119aecf801de6bb2388fe92be1a72_150000x1134xbfloat16_1134x2048xbfloat16.mlir,150000,2048,1134,1,,"aten::mm '[[150000, 1134], [1134, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1134, 1], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_07097b90cd90f5d1d011973df14c968c195fc64e_1285x2048xbfloat16_1285x8192xbfloat16.mlir,2048,8192,1285,1,,"aten::mm '[[2048, 1285], [1285, 8192]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 2048], [8192, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_08aadd4269f6e706ba7a8a61d5b6606bbdf0277e_24576x2048xbfloat16_2048x1536xbfloat16.mlir,24576,1536,2048,1,,"aten::mm '[[24576, 2048], [2048, 1536]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2048, 1], [1536, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_0a6f15bbf23ccd3bc0c541d558ad11fde9171919_1285x2048xbfloat16_2048x3840xbfloat16.mlir,1285,3840,2048,1,,"aten::mm '[[1285, 2048], [2048, 3840]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2048, 1], [3840, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_0c102c36117103e2a7b9ad853325b6116cc3c0ba_4096x8192xbfloat16_2048x8192xbfloat16.mlir,4096,2048,8192,1,,"aten::mm '[[4096, 8192], [8192, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[8192, 1], [1, 8192]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_0fdb139d0976e1e45f0b6862c30603fd461efbad_4096x8192xbfloat16_4096x2048xbfloat16.mlir,8192,2048,4096,1,,"aten::mm '[[8192, 4096], [4096, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 8192], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_151854ef9527a67c16b1c1e98630311308dd87a7_1280x3840xbfloat16_3840x3840xbfloat16.mlir,1280,3840,3840,1,,"aten::mm '[[1280, 3840], [3840, 3840]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[3840, 1], [3840, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_1575148db041eee297d84a3e4115e555ec1a4883_150000x8192xbfloat16_150000x2048xbfloat16.mlir,8192,2048,150000,1,,"aten::mm '[[8192, 150000], [150000, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 8192], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
