filename,M,N,K,batch,tuning_folder_path,proxy_shapes
fused_op_mm_037e17c7c6421d0affce70af3955521ede7322a6_24576x2048xbfloat16_512x2048xbfloat16.mlir,24576,512,2048,1,,"aten::mm '[[24576, 2048], [2048, 512]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2048, 1], [1, 2048]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_04d573574a7ca9714738a3a71d149bb78eaf40b8_165x576xbfloat16_1728x576xbfloat16.mlir,165,1728,576,1,,"aten::mm '[[165, 576], [576, 1728]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[576, 1], [1, 576]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_0544922ac51a6e4906b5d97adfaafbc63b435d07_1280x1728xbfloat16_1280x576xbfloat16.mlir,1728,576,1280,1,,"aten::mm '[[1728, 1280], [1280, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 1728], [576, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_072405fcb8bac52843c74b74087c0e89629bf3df_32768x128xbfloat16_128x512xbfloat16.mlir,32768,512,128,1,,"aten::mm '[[32768, 128], [128, 512]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[128, 1], [512, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_072fd4b7f46b95e4552f8faeaaf957cf63ee0f36_24576x304xbfloat16_304x512xbfloat16.mlir,24576,512,304,1,,"aten::mm '[[24576, 304], [304, 512]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[304, 1], [512, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_09863f822b03c0ab92acefae24ec1ad3eeb4046f_10x576xbfloat16_576x576xbfloat16.mlir,10,576,576,1,,"aten::mm '[[10, 576], [576, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[576, 1], [1, 576]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_0b4492b63d99c96a5ec207ec465d266db4cc00d2_1280x576xbfloat16_576x576xbfloat16.mlir,1280,576,576,1,,"aten::mm '[[1280, 576], [576, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[576, 1], [576, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_0b8e56616d2038a78bdeb549a9b482731fe88535_7680x512xbfloat16_304x512xbfloat16.mlir,7680,304,512,1,,"aten::mm '[[7680, 512], [512, 304]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[512, 1], [1, 512]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_0bd99756c6a3f296f5dccd50671b4146834e1a35_1280x576xbfloat16_1280x2304xbfloat16.mlir,576,2304,1280,1,,"aten::mm '[[576, 1280], [1280, 2304]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 576], [2304, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_0f5e54fe4c781453094d1d03ded6fdd1f82d63fc_165x576xbfloat16_165x2304xbfloat16.mlir,576,2304,165,1,,"aten::mm '[[576, 165], [165, 2304]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 576], [2304, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_11568dfec6ed575bd4e00fd1d0f5f1310302d6ae_16x1024xbfloat16_1024x1024xbfloat16.mlir,16,1024,1024,1,,"aten::mm '[[16, 1024], [1024, 1024]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1024, 1], [1024, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_1180608359864d86621ba7e496b4ca52df10838f_7680x512xbfloat16_2048x512xbfloat16.mlir,7680,2048,512,1,,"aten::mm '[[7680, 512], [512, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[512, 1], [1, 512]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_15e36b83d09986106c6693745a79b25dbd7205cd_7680x512xbfloat16_7680x2048xbfloat16.mlir,512,2048,7680,1,,"aten::mm '[[512, 7680], [7680, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 512], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_16598e84d4ba63e7dce8fda98462355895c55dde_150000x1024xbfloat16_1024x128xbfloat16.mlir,150000,128,1024,1,,"aten::mm '[[150000, 1024], [1024, 128]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1024, 1], [128, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_1712abd86a0db25adf8b337bfbcbc22d463c5d31_165x1728xbfloat16_165x576xbfloat16.mlir,1728,576,165,1,,"aten::mm '[[1728, 165], [165, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 1728], [576, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_177b289ada3f3d6f1934d4b326b2cdbd795fe9c3_24576x512xbfloat16_2048x512xbfloat16.mlir,24576,2048,512,1,,"aten::mm '[[24576, 512], [512, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[512, 1], [1, 512]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_17e5d4e3780f90c592e9ac0bab212dd1bc28b600_165x1728xbfloat16_1728x576xbfloat16.mlir,165,576,1728,1,,"aten::mm '[[165, 1728], [1728, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1728, 1], [576, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_18c23fe92b497b139d9de32ced7c5499bd4e8a96_24576x512xbfloat16_24576x2048xbfloat16.mlir,512,2048,24576,1,,"aten::mm '[[512, 24576], [24576, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 512], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
